#Diffusion Coefficient in µm^2/s; Linear fit performed on the 4 first points of trajectories > 8 points
#Pixel size= .106µm ; Frame rate= .02sec
ROI	Trace	D(µm²/s)	MSD(0)	MSE
 1	 1	 .105433864259567	 3.02178449581062E-03	 .979730031485924
 1	 2	 .00001	 8.68943894808027E-03	 .117363611138876
 1	 4	 6.60857547020949E-03	 1.13353102872383E-03	 .712121300191437
 1	 5	 3.77764641589981E-03	 4.16531995947634E-03	 .16203535243985
 1	 6	 2.07972937900771E-02	 2.86501680625648E-03	 .830268429805685
 1	 7	 .140128921340725	 1.0873921842893E-03	 .973905493370331
 1	 8	 .295954604352739	-6.36984497367818E-03	 .999847783825888
 1	 9	 3.4187385794897E-03	 4.15328678222756E-03	 .138639946846955
 1	 10	 1.48620264287982E-02	 1.32445799315732E-02	 .538262579201019
 1	 11	 .708880442265705	-2.95727024663774E-02	 .998452124322637
 1	 12	 2.09555699163944E-02	 6.65463855791452E-03	 .705321349767136
 1	 13	 .00001	 2.21125825118499E-03	 4.77330307892088E-02
 1	 14	 7.43120486765581E-02	 6.63312189720423E-04	 .933051090105293
 1	 15	 7.0321300769483E-03	 1.35706216701783E-03	 .902796750306001
 1	 16	 .427483126947607	-1.17010371794639E-02	 .998032065525042
 1	 17	 9.81694210571063E-02	 2.74335896729111E-02	 .779845856430543
 1	 18	 7.71728039172259E-03	 1.94422256262099E-03	 .563071630052553
 1	 19	 1.81993935776172E-03	 3.67216542937139E-03	 7.01498724396901E-02
 1	 20	 .2090510417492	 3.82721998231602E-03	 .976598832043311
 1	 21	 9.69773281568918E-03	 4.78191386164496E-03	 .711481298992327
 1	 22	 .615111115443961	-1.03833358697918E-02	 .996452311780479
 1	 23	 .266308690780565	 5.18062518827232E-03	 .964345825924542
 1	 24	 .118950771502512	 3.94340400757397E-03	 .990826372977744
 1	 25	 1.45932099194206E-02	 3.42292180642088E-03	 .976213852902004
 1	 26	 .421293194346462	-1.05884372566742E-03	 .995542046712132
 1	 27	 .107247596673932	-7.50651174710984E-04	 .939169102424322
 1	 28	 .125855416818639	 3.89153523407527E-03	 .896986808960988
 1	 29	 3.65897646449113E-03	 3.56289464603054E-03	 .43628543381722
 1	 30	 .211955859328703	 1.52479471522648E-02	 .835514686421971
 1	 31	 .205771212905944	-4.16944206124649E-03	 .997411638909722
 1	 32	 .194419253576485	-5.89548489622689E-03	 .993032839293583
 1	 33	 3.86338075745676E-03	 2.58594335445057E-03	 .584286481142039
 1	 34	 .302801292049239	-6.61789069667751E-03	 .999310662333651
 1	 35	 .32547673982021	-7.31031782557494E-03	 .997445440222312
 1	 36	 .213755478127514	-.010611541843683	 .996577043916762
 1	 38	 .241527122800421	 2.11650102974123E-03	 .924836290968984
 1	 39	 4.06529115018359E-02	 1.72824231644597E-02	 .71350264660446
 1	 40	 .10301852311184	 3.76683849387621E-03	 .994986534215981
 1	 41	 .305981998322362	-7.58886941304388E-03	 .981898984062601
 1	 42	 1.11816267858504E-03	 7.62404978896765E-04	 .624891829951808
 1	 43	 1.32405990510853E-03	 1.6244479227348E-03	 .64183575903864
 1	 44	 6.92437961175837E-02	 7.4114272640459E-03	 .891651248037065
 1	 45	 .149243629967411	 5.60714075713557E-03	 .947883268781656
 1	 46	 .704556262356962	-4.49820953886017E-02	 .975733361280114
 1	 47	 .037054478884841	 2.19422541713544E-03	 .993577288704063
 1	 48	 2.15432299391229E-03	 1.35390019715963E-03	 .673343714606676
 1	 49	 .688446173531849	-3.17707986999028E-02	 .983090407681377
 1	 50	 1.86242656561435E-02	 5.07327023033959E-03	 .375831531039579
 1	 51	 .163204406170577	-1.19552238609233E-03	 .989888714163024
 1	 52	 2.36528482237021E-03	 2.95283254917351E-03	 .260301858605987
 1	 53	 3.58541455174614E-04	 2.29678464654221E-03	 .620488489785562
 1	 54	 6.11143969355322E-02	 2.09964746527122E-02	 .451369099063475
 1	 55	 .354921149789797	-4.57532955255279E-03	 .995063948563704
 1	 56	 1.23582789639578E-03	 1.88846984854747E-03	 .241858379936065
 1	 57	 .327936415050272	-.015690291874445	 .989579385042855
 1	 58	 .345772368002358	 5.52922142473453E-02	 .669593071945474
 1	 59	 3.90383078423965E-02	 6.24070750447136E-03	 .912890982784493
 1	 60	 2.76144089259036E-02	 7.73213864679116E-03	 .839429854015273
 1	 61	 5.60215501123651E-03	 1.28024973571744E-03	 .772415622328982
 1	 62	 .577794010045816	-2.68240320495855E-02	 .999155791786647
 1	 63	 3.07351201716498E-02	 4.1354107844539E-03	 .982504216309079
 1	 64	 4.57960413725272E-02	 6.19831800947293E-03	 .999855676297575
 1	 65	 .65653993810216	-3.51166409179923E-02	 .963884908213894
 1	 66	 .143470569565054	-2.83686896956987E-03	 .921772085357673
 1	 67	 4.22370715511162E-02	 3.48896348246946E-03	 .898506218432381
 1	 68	 .585331429076386	-2.79278657402003E-02	 .997347900635757
 1	 69	 .30498066731482	-7.87048433803601E-03	 .979679598720437
 1	 70	 .829683499629919	-1.37298166225138E-02	 .990427892374296
 1	 71	 9.28701763151552E-02	-4.45946745690653E-03	 .973175635339919
 1	 72	 .00001	 1.03402901008915E-02	 .501385543428519
 1	 73	 .255712413820536	-8.30548075685445E-03	 .999636524697377
 1	 74	 1.30537526380934	-7.92499969391047E-02	 .975670945504395
 1	 75	 .329469013697812	-1.51889654737233E-02	 .996568727824689
 1	 76	 3.04884256852236E-02	 5.26300678893426E-03	 .916578058031972
 1	 77	 1.86571153680672E-02	 4.22681881760957E-03	 .779539012801199
 1	 78	 9.81938769315322E-02	 2.30891768039606E-02	 .818101705737525
